Id;Latitude;Longitude;Elevation;HeartRate;Cadence;TrackSegmentId;Power;Temperature;Time
4229;48,85282;2,230385;32,53821;129;0;15;0;0;2019-06-09 13:52:50.000
4230;48,85268;2,230536;32,35653;129;0;15;0;0;2019-06-09 13:52:48.000
4231;48,85247;2,230878;31,98363;129;0;15;0;0;2019-06-09 13:52:44.000
4232;48,85234;2,23118;31,61735;129;0;15;0;0;2019-06-09 13:52:41.000
4233;48,85229;2,231276;31,5206;129;0;15;0;0;2019-06-09 13:52:40.000
4234;48,85204;2,232032;31,08356;127;0;15;0;0;2019-06-09 13:52:33.000
4235;48,85197;2,232265;30,98324;127;0;15;0;0;2019-06-09 13:52:31.000
4236;48,85177;2,233063;32,25382;127;0;15;0;0;2019-06-09 13:52:24.000
4237;48,8516;2,233912;32,40874;126;0;15;0;0;2019-06-09 13:52:17.000
4238;48,85154;2,234366;32,63644;128;0;15;0;0;2019-06-09 13:52:14.000
4239;48,85145;2,235063;34,27734;130;0;15;0;0;2019-06-09 13:52:08.000
4240;48,85525;2,228757;33,43734;138;0;15;0;0;2019-06-09 13:53:24.000
4241;48,85147;2,234884;33,9611;151;0;15;0;0;2019-06-09 13:58:38.000
4242;48,8555;2,228682;33,77891;139;0;15;0;0;2019-06-09 13:53:27.000
4243;48,85644;2,22857;32,53821;140;0;15;0;0;2019-06-09 13:53:39.000
4244;48,86339;2,232008;31,95164;152;0;15;0;0;2019-06-09 13:55:09.000
4245;48,86306;2,231467;31,99828;152;0;15;0;0;2019-06-09 13:55:03.000
4246;48,86287;2,231236;32,31741;152;0;15;0;0;2019-06-09 13:55:00.000
4247;48,86276;2,231088;32,32687;151;0;15;0;0;2019-06-09 13:54:58.000
4248;48,86256;2,230882;32,10449;151;0;15;0;0;2019-06-09 13:54:55.000
4249;48,86249;2,23082;31,94018;152;0;15;0;0;2019-06-09 13:54:54.000
4250;48,86197;2,230542;30,18425;151;0;15;0;0;2019-06-09 13:54:47.000
4251;48,86189;2,230496;29,99883;151;0;15;0;0;2019-06-09 13:54:46.000
4252;48,86152;2,230289;30,19261;150;0;15;0;0;2019-06-09 13:54:41.000
4253;48,86136;2,230215;30,75469;150;0;15;0;0;2019-06-09 13:54:39.000
4254;48,86087;2,229959;32,04388;149;0;15;0;0;2019-06-09 13:54:33.000
4255;48,86044;2,229784;32,17054;150;0;15;0;0;2019-06-09 13:54:28.000
4256;48,85987;2,229596;31,0313;149;0;15;0;0;2019-06-09 13:54:21.000
4257;48,85962;2,229501;30,80299;148;0;15;0;0;2019-06-09 13:54:18.000
4258;48,85928;2,229371;30,48943;147;0;15;0;0;2019-06-09 13:54:14.000
